state,count
Alaska,2.0
Alabama,8.0
Arkansas,1.0
Arizona,9.0
California,123.0
Colorado,36.0
Connecticut,0.0
District of Columbia,0.0
Delaware,0.0
Florida,51.0
Georgia,13.0
Guam,4.0
Hawaii,22.0
Iowa,1.0
Idaho,8.0
Illinois,5.0
Indiana,0.0
Kansas,0.0
Kentucky,1.0
Louisiana,0.0
Massachusetts,0.0
Maryland,7.0
Maine,0.0
Michigan,5.0
Minnesota,8.0
Missouri,2.0
Northern Marina Islands,0.0
Mississippi,3.0
Montana,2.0
North Carolina,25.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,0.0
New Jersey,2.0
New Mexico,0.0
Nevada,2.0
New York,6.0
Ohio,6.0
Oklahoma,11.0
Oregon,34.0
Pennsylvania,1.0
Puerto Rico,8.0
Rhode Island,0.0
South Carolina,13.0
South Dakota,3.0
Tennessee,22.0
Texas,6.0
Utah,1.0
Virginia,2.0
US Virgin Islands,0.0
Vermont,0.0
Washington,19.0
Wisconsin,3.0
West Virginia,0.0
Wyoming,0.0
Total,475.0
