state,count
Alaska,0.0
Alabama,1.0
Arkansas,0.0
Arizona,3.0
California,30.0
Colorado,2.0
Connecticut,0.0
District of Columbia,0.0
Delaware,0.0
Florida,27.0
Georgia,0.0
Guam,0.0
Hawaii,4.0
Iowa,0.0
Idaho,0.0
Illinois,23.0
Indiana,23.0
Kansas,2.0
Kentucky,0.0
Louisiana,25.0
Massachusetts,16.0
Maryland,3.0
Maine,0.0
Michigan,31.0
Minnesota,0.0
Missouri,17.0
Northern Marina Islands,
Mississippi,0.0
Montana,0.0
North Carolina,0.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,1.0
New Jersey,3.0
New Mexico,0.0
Nevada,0.0
New York,2.0
Ohio,13.0
Oklahoma,1.0
Oregon,1.0
Pennsylvania,8.0
Puerto Rico,0.0
Rhode Island,0.0
South Carolina,1.0
South Dakota,0.0
Tennessee,1.0
Texas,20.0
Utah,0.0
Virginia,2.0
US Virgin Islands,0.0
Vermont,0.0
Washington,2.0
Wisconsin,0.0
West Virginia,1.0
Wyoming,0.0
Total,263.0
