state,count
Alaska,0.0
Alabama,37.0
Arkansas,47.0
Arizona,64.0
California,2621.0
Colorado,40.0
Connecticut,0.0
District of Columbia,0.0
Delaware,0.0
Florida,1098.0
Georgia,431.0
Guam,204.0
Hawaii,21.0
Iowa,0.0
Idaho,31.0
Illinois,69.0
Indiana,0.0
Kansas,7.0
Kentucky,56.0
Louisiana,78.0
Massachusetts,0.0
Maryland,78.0
Maine,0.0
Michigan,43.0
Minnesota,68.0
Missouri,307.0
Northern Marina Islands,
Mississippi,39.0
Montana,32.0
North Carolina,95.0
North Dakota,2.0
Nebraska,60.0
New Hampshire,8.0
New Jersey,37.0
New Mexico,52.0
Nevada,3.0
New York,14.0
Ohio,23.0
Oklahoma,38.0
Oregon,420.0
Pennsylvania,392.0
Puerto Rico,1602.0
Rhode Island,0.0
South Carolina,139.0
South Dakota,0.0
Tennessee,79.0
Texas,215.0
Utah,53.0
Virginia,42.0
US Virgin Islands,0.0
Vermont,13.0
Washington,83.0
Wisconsin,19.0
West Virginia,21.0
Wyoming,75.0
Total,8856.0
