state,count
Alaska,0.0
Alabama,6.0
Arkansas,0.0
Arizona,9.0
California,121.0
Colorado,29.0
Connecticut,2.0
District of Columbia,0.0
Delaware,0.0
Florida,52.0
Georgia,19.0
Guam,10.0
Hawaii,22.0
Iowa,0.0
Idaho,2.0
Illinois,8.0
Indiana,2.0
Kansas,1.0
Kentucky,9.0
Louisiana,0.0
Massachusetts,0.0
Maryland,13.0
Maine,2.0
Michigan,4.0
Minnesota,21.0
Missouri,8.0
Northern Marina Islands,
Mississippi,8.0
Montana,24.0
North Carolina,29.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,0.0
New Jersey,5.0
New Mexico,0.0
Nevada,0.0
New York,7.0
Ohio,3.0
Oklahoma,1.0
Oregon,54.0
Pennsylvania,0.0
Puerto Rico,8.0
Rhode Island,0.0
South Carolina,8.0
South Dakota,0.0
Tennessee,45.0
Texas,8.0
Utah,0.0
Virginia,1.0
US Virgin Islands,0.0
Vermont,0.0
Washington,9.0
Wisconsin,14.0
West Virginia,8.0
Wyoming,1.0
Total,573.0
