state,count
Alaska,0.0
Alabama,4.0
Arkansas,0.0
Arizona,17.0
California,57.0
Colorado,25.0
Connecticut,0.0
District of Columbia,0.0
Delaware,0.0
Florida,66.0
Georgia,0.0
Guam,0.0
Hawaii,12.0
Iowa,0.0
Idaho,0.0
Illinois,52.0
Indiana,22.0
Kansas,0.0
Kentucky,2.0
Louisiana,20.0
Massachusetts,35.0
Maryland,43.0
Maine,12.0
Michigan,18.0
Minnesota,0.0
Missouri,30.0
Northern Marina Islands,0.0
Mississippi,0.0
Montana,0.0
North Carolina,0.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,5.0
New Jersey,10.0
New Mexico,0.0
Nevada,12.0
New York,54.0
Ohio,40.0
Oklahoma,15.0
Oregon,7.0
Pennsylvania,135.0
Puerto Rico,26.0
Rhode Island,0.0
South Carolina,11.0
South Dakota,0.0
Tennessee,6.0
Texas,48.0
Utah,0.0
Virginia,32.0
US Virgin Islands,0.0
Vermont,2.0
Washington,37.0
Wisconsin,42.0
West Virginia,1.0
Wyoming,0.0
Total,898.0
