state,count
Alaska,0.0
Alabama,31.0
Arkansas,0.0
Arizona,38.0
California,194.0
Colorado,23.0
Connecticut,0.0
District of Columbia,0.0
Delaware,10.0
Florida,186.0
Georgia,0.0
Guam,0.0
Hawaii,25.0
Iowa,0.0
Idaho,0.0
Illinois,89.0
Indiana,24.0
Kansas,9.0
Kentucky,10.0
Louisiana,34.0
Massachusetts,59.0
Maryland,99.0
Maine,13.0
Michigan,44.0
Minnesota,10.0
Missouri,51.0
Northern Marina Islands,
Mississippi,0.0
Montana,0.0
North Carolina,0.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,9.0
New Jersey,19.0
New Mexico,0.0
Nevada,20.0
New York,156.0
Ohio,96.0
Oklahoma,46.0
Oregon,13.0
Pennsylvania,229.0
Puerto Rico,68.0
Rhode Island,17.0
South Carolina,12.0
South Dakota,0.0
Tennessee,19.0
Texas,134.0
Utah,49.0
Virginia,58.0
US Virgin Islands,0.0
Vermont,4.0
Washington,54.0
Wisconsin,62.0
West Virginia,11.0
Wyoming,0.0
Total,2025.0
