state,count
Alaska,0.0
Alabama,13.0
Arkansas,4.0
Arizona,13.0
California,101.0
Colorado,22.0
Connecticut,0.0
District of Columbia,0.0
Delaware,0.0
Florida,44.0
Georgia,0.0
Guam,0.0
Hawaii,0.0
Iowa,2.0
Idaho,0.0
Illinois,57.0
Indiana,48.0
Kansas,3.0
Kentucky,0.0
Louisiana,14.0
Massachusetts,33.0
Maryland,43.0
Maine,10.0
Michigan,8.0
Minnesota,11.0
Missouri,38.0
Northern Marina Islands,0.0
Mississippi,0.0
Montana,0.0
North Carolina,0.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,0.0
New Jersey,14.0
New Mexico,0.0
Nevada,57.0
New York,48.0
Ohio,32.0
Oklahoma,16.0
Oregon,6.0
Pennsylvania,211.0
Puerto Rico,15.0
Rhode Island,0.0
South Carolina,11.0
South Dakota,0.0
Tennessee,8.0
Texas,38.0
Utah,0.0
Virginia,14.0
US Virgin Islands,0.0
Vermont,0.0
Washington,37.0
Wisconsin,33.0
West Virginia,1.0
Wyoming,0.0
Total,1005.0
